1;2;3;4;5;6
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
12345 12345 12345; 12345 12345 12345;1;1;1;1.00
